,Churn Value,Churn Score,Monthly Charges,Total Charges,Tenure Months,CLTV,Gender,Senior Citizen,Partner,Dependents,Phone Service,Multiple Lines,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Internet Service,Contract,Paperless Billing
0,1,86,53.85,108.15,2,3239,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1
1,1,67,70.7,151.65,2,2701,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
2,1,86,99.65,820.5,8,5372,0,0,0,1,1,1,0,0,1,0,1,1,0,1,1
3,1,84,104.8,3046.05,28,5003,0,0,1,1,1,1,0,0,1,1,1,1,0,1,1
4,1,89,103.7,5036.3,49,5340,1,0,0,1,1,1,0,1,1,0,1,1,0,1,1
5,1,78,55.2,528.35,10,5925,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
6,1,100,39.65,39.65,1,5433,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1
7,1,92,20.15,20.15,1,4832,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
8,1,77,99.35,4749.15,47,5789,1,0,1,1,1,1,0,1,0,0,1,1,0,1,1
9,1,97,30.2,30.2,1,2915,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
10,1,74,64.7,1093.1,17,3022,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1
11,1,66,69.7,316.9,5,2454,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1
12,1,65,106.35,3549.25,34,2941,1,0,0,1,1,1,0,1,1,0,1,1,0,1,1
13,1,70,97.85,1105.4,11,5674,0,0,0,1,1,1,0,0,1,0,1,1,0,1,1
14,1,90,80.65,144.15,2,5586,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1
15,1,82,99.1,1426.4,15,2966,0,0,0,1,1,0,1,1,0,0,1,1,0,1,1
16,1,69,80.65,633.3,8,5302,0,1,1,1,1,1,0,1,0,0,0,0,0,1,1
17,1,81,95.45,1752.55,18,3179,1,1,0,1,1,1,0,0,0,0,1,1,0,1,1
18,1,96,94.4,857.25,9,5571,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0
19,1,87,79.35,79.35,1,2483,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1
20,1,70,75.15,496.9,7,3457,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1
21,1,86,78.95,927.35,12,5806,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1
22,1,66,21.05,113.85,5,2604,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
23,1,88,98.5,2514.5,25,5337,0,1,1,1,1,0,0,1,1,0,1,1,0,1,1
24,1,86,110.0,7611.85,68,5034,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1
